year,month,mean_rad,min_rad,max_rad,date
2014,1,0.6974598270595077,-0.041947025805711746,48.71617126464844,2014-01-01
2014,2,0.8521053299136462,0.01288539543747902,107.24039459228516,2014-02-01
2014,3,0.7135636506147195,-0.11643417179584503,109.9044418334961,2014-03-01
2014,4,0.8055500925972641,-0.048235341906547546,90.78120422363281,2014-04-01
2014,5,0.8715434219383937,-0.11043405532836914,89.77972412109375,2014-05-01
2014,6,0.978141662116851,-0.013227718882262707,115.30500793457031,2014-06-01
2014,7,0.8998884020262609,-0.06894411146640778,106.30570983886719,2014-07-01
2014,8,0.9878630841589426,0.07358645647764206,81.78433227539062,2014-08-01
2014,9,0.7407340915819289,0.022963598370552063,82.07173919677734,2014-09-01
2014,10,0.8492966593315324,-0.0021110745146870613,69.31566619873047,2014-10-01
2014,11,0.66071785324721,-0.1350962519645691,83.68035888671875,2014-11-01
2014,12,1.2706438078168119,0.3193611204624176,92.97245025634766,2014-12-01
2015,1,1.2866913945969287,0.21508151292800903,139.0732421875,2015-01-01
2015,2,0.8851030438504308,0.1701485812664032,110.06023406982422,2015-02-01
2015,3,0.8700391040341826,0.025665178894996643,79.8499755859375,2015-03-01
2015,4,0.8043600207146157,-0.12551036477088928,86.00948333740234,2015-04-01
2015,5,0.8413541597269055,-0.13921388983726501,470.8204650878906,2015-05-01
2015,6,0.7084235759758327,-0.23032061755657196,68.95964813232422,2015-06-01
2015,7,0.7021461419788865,-0.22582994401454926,81.91382598876953,2015-07-01
2015,8,0.8159624539134634,-0.07705231755971909,81.16808319091797,2015-08-01
2015,9,0.7460285783158194,-0.061574582010507584,71.16059875488281,2015-09-01
2015,10,0.5970488124267994,-0.2293033003807068,62.921268463134766,2015-10-01
2015,11,0.8952046397660429,0.08000902831554413,86.59307861328125,2015-11-01
2015,12,0.773839644442968,-0.08868061751127243,102.98385620117188,2015-12-01
2016,1,0.9362094455467832,-0.09666197001934052,71.43508911132812,2016-01-01
2016,2,0.6699356847152995,-0.10387711971998215,77.68952178955078,2016-02-01
2016,3,0.7348099042979739,-0.2811877429485321,83.995361328125,2016-03-01
2016,4,0.7798792127255013,-0.12170544266700745,78.75627136230469,2016-04-01
2016,5,0.8661208049651437,-0.08817857503890991,69.15095520019531,2016-05-01
2016,6,0.8544426847174647,-0.11936689913272858,76.63717651367188,2016-06-01
2016,7,0.7233390126637335,-0.21855777502059937,77.58112335205078,2016-07-01
2016,8,0.870117112967714,-0.12217500060796738,81.4377670288086,2016-08-01
2016,9,0.7754859842055928,-0.04804975539445877,74.07313537597656,2016-09-01
2016,10,0.8503615071988214,-0.07938431203365326,80.1108627319336,2016-10-01
2016,11,0.9212028834241008,0.03220194950699806,80.87079620361328,2016-11-01
2016,12,0.994845105800735,0.04412909597158432,100.14887237548828,2016-12-01
2017,1,1.476876607980962,0.11448895186185837,124.5741958618164,2017-01-01
2017,2,1.1112198820301695,0.14775070548057556,76.96536254882812,2017-02-01
2017,3,1.0257020522115847,0.15923510491847992,87.50122833251953,2017-03-01
2017,4,1.0665058140033457,0.08736017346382141,79.44477844238281,2017-04-01
2017,5,1.049903185560871,-0.038503121584653854,77.7010726928711,2017-05-01
2017,6,0.9468959378549382,-0.07571009546518326,75.29987335205078,2017-06-01
2017,7,1.0391571925480672,0.05466288700699806,71.69345092773438,2017-07-01
2017,8,1.1537186958632637,0.1942032277584076,72.37805938720703,2017-08-01
2017,9,1.1133627053060369,0.1434589922428131,61.67287826538086,2017-09-01
2017,10,1.2789220392869305,0.27000001072883606,81.52999877929688,2017-10-01
2017,11,1.1313937776304035,0.18000000715255737,100.06999969482422,2017-11-01
2017,12,0.9770807439404716,0.09000000357627869,69.72000122070312,2017-12-01
2018,1,1.5383157318203942,0.20999999344348907,97.94999694824219,2018-01-01
2018,2,1.0147073202533765,0.05999999865889549,66.18000030517578,2018-02-01
2018,3,1.2481555615072273,0.0,119.69999694824219,2018-03-01
2018,4,1.12157813687295,0.10999999940395355,93.81999969482422,2018-04-01
2018,5,1.1050794764339213,0.07000000029802322,80.37999725341797,2018-05-01
2018,6,1.0670324079148836,-0.03999999910593033,80.18000030517578,2018-06-01
2018,7,0.8867973844137248,-0.10999999940395355,79.54000091552734,2018-07-01
2018,8,1.1818313204892432,0.12999999523162842,81.91999816894531,2018-08-01
2018,9,1.0859509568661552,0.10000000149011612,75.04000091552734,2018-09-01
2018,10,1.1270700859002596,0.14000000059604645,85.12999725341797,2018-10-01
2018,11,1.2167536540832722,0.20000000298023224,77.9800033569336,2018-11-01
2018,12,1.1274839574384141,0.05000000074505806,97.5999984741211,2018-12-01
2019,1,2.1604390096311796,0.0,193.8699951171875,2019-01-01
2019,2,1.2374110718241849,0.009999999776482582,73.8499984741211,2019-02-01
2019,3,1.211827494315113,0.10999999940395355,98.43000030517578,2019-03-01
2019,4,1.3582330225138155,0.09000000357627869,75.87999725341797,2019-04-01
2019,5,1.23198552386763,-0.10999999940395355,83.73999786376953,2019-05-01
2019,6,1.0824764755277048,-0.07000000029802322,79.62999725341797,2019-06-01
2019,7,1.1596559784118878,-0.05000000074505806,82.6500015258789,2019-07-01
2019,8,1.309632390095105,0.07000000029802322,77.9800033569336,2019-08-01
2019,9,1.1675794070318402,0.10999999940395355,73.63999938964844,2019-09-01
2019,10,1.3136553121902979,0.20000000298023224,83.54000091552734,2019-10-01
2019,11,1.3235221877504542,0.05000000074505806,79.30000305175781,2019-11-01
2019,12,1.2964538636327403,0.20999999344348907,83.5199966430664,2019-12-01
2020,1,1.174506452166044,-0.009999999776482582,89.54000091552734,2020-01-01
2020,2,1.3276625278476837,0.1899999976158142,88.0199966430664,2020-02-01
2020,3,1.3239016992287773,0.12999999523162842,84.77999877929688,2020-03-01
2020,4,1.2949767385445998,0.029999999329447746,83.19999694824219,2020-04-01
2020,5,1.3366499660608533,0.10999999940395355,75.12000274658203,2020-05-01
2020,6,1.393089454302965,0.1899999976158142,71.3499984741211,2020-06-01
2020,7,1.2713702871438597,0.11999999731779099,66.22000122070312,2020-07-01
2020,8,1.3129191797719597,0.1899999976158142,75.91999816894531,2020-08-01
2020,9,1.3127605887823819,0.10000000149011612,78.95999908447266,2020-09-01
2020,10,1.4020848109478534,0.1599999964237213,90.36000061035156,2020-10-01
2020,11,1.456547190279265,0.30000001192092896,79.31999969482422,2020-11-01
2020,12,1.059674694147482,0.23999999463558197,54.810001373291016,2020-12-01
2021,1,2.2392237771381733,0.0,121.80000305175781,2021-01-01
2021,2,2.157777747091679,0.3499999940395355,99.68000030517578,2021-02-01
2021,3,1.4375770144139133,0.10000000149011612,99.86000061035156,2021-03-01
2021,4,1.4487963774369739,0.05000000074505806,86.6500015258789,2021-04-01
2021,5,1.631007522500049,0.1599999964237213,96.61000061035156,2021-05-01
2021,6,1.778436987868953,0.25,79.44000244140625,2021-06-01
2021,7,1.4948443153280997,0.15000000596046448,82.52999877929688,2021-07-01
2021,8,1.8660363943903349,0.3100000023841858,102.52999877929688,2021-08-01
2021,9,1.5300737312542032,0.14000000059604645,105.5999984741211,2021-09-01
2021,10,1.5305536889570353,0.14000000059604645,96.9800033569336,2021-10-01
2021,11,1.5424634434587636,0.2199999988079071,97.16999816894531,2021-11-01
2021,12,1.70267336993377,0.1599999964237213,114.36000061035156,2021-12-01
2022,1,1.9026087878707465,0.14000000059604645,133.3000030517578,2022-01-01
2022,2,2.149311773071157,0.14000000059604645,111.77999877929688,2022-02-01
2022,3,1.8206134379865933,0.1599999964237213,90.20999908447266,2022-03-01
2022,4,1.7101437479772048,0.20000000298023224,117.11000061035156,2022-04-01
2022,5,1.8397394567478986,0.25999999046325684,90.41000366210938,2022-05-01
2022,6,1.7871460661152772,0.2199999988079071,91.51000213623047,2022-06-01
2022,7,1.4927243574739655,-0.12999999523162842,371.4599914550781,2022-07-01
2022,8,1.4919813551343746,0.17000000178813934,82.73999786376953,2022-08-01
2022,9,1.5480867915254588,0.20999999344348907,94.43000030517578,2022-09-01
2022,10,1.6916001643262437,0.23999999463558197,107.25,2022-10-01
2022,11,1.5162458064491846,0.12999999523162842,99.47000122070312,2022-11-01
2022,12,1.5454875597186801,0.20000000298023224,112.87999725341797,2022-12-01
2023,1,1.5237669103086156,-0.25,100.9000015258789,2023-01-01
2023,2,1.8732379085017072,0.28999999165534973,105.25,2023-02-01
2023,3,1.754343600874684,-0.05999999865889549,126.22000122070312,2023-03-01
2023,4,1.8683994597375262,-0.20999999344348907,109.97000122070312,2023-04-01
2023,5,1.8807921337233826,0.0,92.77999877929688,2023-05-01
2023,6,1.912444265660461,0.36000001430511475,83.1500015258789,2023-06-01
2023,7,1.8533692392940098,0.23999999463558197,93.0999984741211,2023-07-01
2023,8,1.8828508146139102,0.23999999463558197,93.06999969482422,2023-08-01
2023,9,1.7334661244840393,0.18000000715255737,102.2300033569336,2023-09-01
2023,10,1.8220969530093778,0.25999999046325684,105.7300033569336,2023-10-01
2023,11,1.6402037032949666,0.0,104.19000244140625,2023-11-01
2023,12,1.9277236880950277,0.0,103.37000274658203,2023-12-01
2024,1,2.085903781114612,-0.12999999523162842,116.72000122070312,2024-01-01
2024,2,2.0241379745675037,-0.07000000029802322,125.48999786376953,2024-02-01
2024,3,2.0424645438345346,0.0,142.14999389648438,2024-03-01
2024,4,2.111411691773551,-0.3400000035762787,112.6500015258789,2024-04-01
2024,5,1.958854144372907,0.12999999523162842,114.38999938964844,2024-05-01
2024,6,2.22466268694517,0.30000001192092896,114.2699966430664,2024-06-01
2024,7,2.030418852627034,0.14000000059604645,91.9800033569336,2024-07-01
2024,8,2.160945667699811,0.3199999928474426,99.77999877929688,2024-08-01
2024,9,1.8970144745908315,0.23999999463558197,106.55999755859375,2024-09-01
2024,10,2.0001314888152013,0.27000001072883606,110.7300033569336,2024-10-01
2024,11,2.128263159404467,0.25,128.19000244140625,2024-11-01
2024,12,2.250309317277302,0.0,99.25,2024-12-01
2025,1,2.1296368108670802,-0.09000000357627869,127.62000274658203,2025-01-01
2025,2,1.8062209353635108,-0.25,143.42999267578125,2025-02-01
2025,3,1.9365107015874825,0.0,148.8000030517578,2025-03-01
2025,4,2.0721062683986,-0.18000000715255737,122.83999633789062,2025-04-01
2025,5,2.168595060205127,0.18000000715255737,147.5500030517578,2025-05-01
2025,6,2.2709678095290595,0.3400000035762787,110.4000015258789,2025-06-01
2025,7,2.2664472739096992,0.25,109.87999725341797,2025-07-01
2025,8,2.2370813713334488,0.20000000298023224,108.33999633789062,2025-08-01
2025,9,2.120514236710123,0.23999999463558197,120.08999633789062,2025-09-01
2025,10,2.184301182829402,0.0,126.02999877929688,2025-10-01
2025,11,1.9773790067399686,0.0,113.5199966430664,2025-11-01
2025,12,1.9187395416425232,-0.009999999776482582,132.82000732421875,2025-12-01
